species	MMR	Qdot
Dromaius_novaehollandiae	3.467	0.0024803779844922400
Anas_sp	5.373	0.0003837998262485360
Eudyptula_minor	4.948	0.0002426793413546960
Pelecanus_conspicillatus	4.638	0.0048546309559125800
Phalacrocorax_sp	2.283	0.0010303771972658800
Haliaeetus_leucogaster	1.191	0.0022106243985970400
Corvus_sp	19.053	0.0003544210693340440
Hirundo_sp	13.247	0.0000047556876441075
Coturnix_sp	13.522	0.0001291329160071350
Calidris_sp	14.361	0.0000139557348642950
Sterna_sp	4.785	0.0000266502816245079
Sturnus_vulgaris	7.353	0.0000583227916549878
Larus_sp	2.824	0.0001637560397672130
Plegadis_falcinellus	2.295	0.0005519098814194590
Falco_sp	16.46	0.0005656367255290050
Gallus_domesticus	7.354	0.00567
Turdus_sp	16.082	0.0001592102504004860
Enantiornithes_IVPP_V_17968	NA	0.0009030964642858970
Crocodylus_porosus	0.264	0.0019551349477503500
Alligator_mississippiensis	0.342	0.0004157381921535740
Crocodylus_niloticus	0.327	0.0002780722220922670
